 Customer Name ,Age,Purchase Amount,City,Country
  Customer 0 ,56.0,79.0528702376337,Los Angeles,USA
  Customer 1 ,69.0,403.07652056947944,new york,USA
  Customer 2 ,46.0,46.5298154030877,new york,USA
  Customer 3 ,32.0,493.57459893425346,chicago,USA
  Customer 4 ,60.0,388.39993695536214,Los Angeles,USA
  Customer 5 ,25.0,107.37068395174448,nan,USA
  Customer 6 ,38.0,12.705837390565176,Los Angeles,USA
  Customer 7 ,56.0,409.5760999428687,chicago,USA
  Customer 8 ,36.0,356.3600984853324,chicago,USA
  Customer 9 ,40.0,367.21351234008375,Los Angeles,USA
  Customer 10 ,28.0,387.92246987611344,chicago,USA
  Customer 11 ,28.0,46.281879349704276,Los Angeles,USA
  Customer 12 ,41.0,185.64820698669357,NEW YORK,USA
  Customer 13 ,53.0,66.77583916731356,Los Angeles,USA
  Customer 14 ,57.0,432.9206786790408,Los Angeles,USA
  Customer 15 ,41.0,315.41608214550337,chicago,USA
  Customer 16 ,20.0,172.1400321777981,chicago,USA
  Customer 17 ,39.0,41.143591640151584,new york,USA
  Customer 18 ,19.0,162.38133764067447,new york,USA
  Customer 19 ,41.0,169.33982779310605,NEW YORK,USA
  Customer 20 ,61.0,367.5070273856514,new york,USA
  Customer 21 ,47.0,322.40316096405445,Los Angeles,USA
  Customer 22 ,55.0,444.7342438624,chicago,USA
  Customer 23 ,19.0,241.38531332935514,new york,USA
  Customer 24 ,38.0,68.60118050976783,new york,USA
  Customer 25 ,50.0,359.48994573926757,NEW YORK,USA
  Customer 26 ,29.0,382.78467382227973,NEW YORK,USA
  Customer 27 ,39.0,285.02582680905317,Los Angeles,USA
  Customer 28 ,61.0,387.77391817773486,chicago,USA
  Customer 29 ,42.0,251.95984221855147,NEW YORK,USA
  Customer 30 ,66.0,266.1390863971771,new york,USA
  Customer 31 ,44.0,219.49509899568932,chicago,USA
  Customer 32 ,59.0,22.455372104606642,chicago,USA
  Customer 33 ,45.0,62.86679922671918,new york,USA
  Customer 34 ,33.0,25.400300986499783,NEW YORK,USA
  Customer 35 ,32.0,321.8411015192524,new york,USA
  Customer 36 ,64.0,164.03443072740006,chicago,USA
  Customer 37 ,68.0,259.19963867070436,nan,USA
  Customer 38 ,61.0,454.7075722237856,nan,USA
  Customer 39 ,69.0,132.15319228294874,Los Angeles,USA
  Customer 40 ,20.0,211.08763228745858,new york,USA
  Customer 41 ,54.0,380.22005788609385,new york,USA
  Customer 42 ,68.0,122.111101090895,Los Angeles,USA
  Customer 43 ,24.0,47.720155816108566,Los Angeles,USA
  Customer 44 ,38.0,151.97821192774634,Los Angeles,USA
  Customer 45 ,26.0,88.99843075446216,chicago,USA
  Customer 46 ,56.0,465.5518496478608,new york,USA
  Customer 47 ,35.0,405.9789859865643,chicago,USA
